,refine_ls_rfactor_rwork,refine_ls_rfactor_rfree_error,refine_ls_rfactor_rfree,refine_ls_wrfactor_rwork,refine_ls_wrfactor_rfree,refine_occupancy_max,refine_occupancy_min
0,0.267,,0.316,,,,
1,0.186,,0.227,,,,
2,0.186,,0.226,,,,
3,0.223,0.003,0.25,,,,
4,0.218,,0.248,,,,
5,0.217,0.002,0.231,,,,
6,0.218,0.002,0.237,,,,
7,0.203,,0.235,,,,
8,0.2097,,0.2499,,,,
9,0.2085,,0.2629,,,,
10,0.216,,0.218,,,,
11,0.1886,,0.2195,,,,
12,0.15913,,0.18733,,,,
13,0.173,,,,,,
14,0.197,,0.243,,,,
15,0.174,,0.265,,,,
16,0.254,,0.296,,,,
17,0.168,,0.239,,,1.0,0.15
18,0.198,0.01,0.247,,,,
19,0.1824,,0.2097,,,,
20,0.1627,,0.2033,,,,
21,0.153,,0.187,,,,
22,0.229,,0.271,,,,
23,0.1815,,0.20444,,,,
24,0.22,0.006,0.282,,,,
25,0.192,,0.238,,,,
26,0.2014,,0.25531,,,,
27,0.19234,,0.24743,,,,
28,0.2184,,0.26228,,,,
29,0.15162,,0.17662,,,,
30,0.2159,,0.2716,,,,
31,0.228,,0.2632,,,1.0,1.0
32,0.21407,,0.25332,,,,
33,0.1711,,0.2131,,,,
34,0.2244,,0.2489,,,,
35,0.163,,0.1857,,,,
36,0.1566,,0.2052,,,,
37,0.2127,,0.267,,,,
38,0.2676,,0.2903,,,,
39,0.1837,,0.2301,,,,
40,0.1813,,0.2201,,,,
41,0.19972,,0.2357,,,,
42,0.19972,,0.2357,,,,
43,0.19972,,0.2357,,,,
44,0.19972,,0.2357,,,,
45,0.1869,,0.2449,,,,
46,0.221,0.004,0.254,,,,
47,0.221,0.004,0.254,,,,
48,0.221,0.004,0.254,,,,
49,0.221,0.004,0.254,,,,
50,0.244,0.004,0.289,,,,
52,0.20381,,0.23998,,,,
53,0.20381,,0.23998,,,,
54,0.20381,,0.23998,,,,
55,0.20381,,0.23998,,,,
56,0.1626,,0.1924,,,1.0,0.45
57,0.2337,,0.2677,,,1.0,0.25
58,0.1926,,0.2342,,,,
59,0.21696,,0.26864,,,,
60,0.197,,0.24,,,,
61,0.231,,0.2757,,,,
62,0.2115,,0.2433,,,,
63,0.231,,0.28,,,,
64,0.218,0.008,0.244,,,,
65,0.2119,,0.2502,,,,
67,0.2071,,0.2539,,,,
68,0.197,,0.2425,,,1.0,1.0
69,0.1956,,0.2234,,,,
70,0.106,,0.1228,,,,
71,0.22,0.003,0.246,,,,
72,0.239,0.006,0.278,,,,
73,0.23,0.006,0.283,,,,
74,0.1896,,0.242,0.1481,0.1901,,
75,0.214,,0.252,,,,
76,0.214,,0.252,,,,
77,0.214,,0.252,,,,
78,0.214,,0.252,,,,
79,0.20571,,0.24052,,,,
80,0.20571,,0.24052,,,,
81,0.20571,,0.24052,,,,
82,0.20571,,0.24052,,,,
83,0.206,,0.24,,,,
84,0.206,,0.24,,,,
85,0.206,,0.24,,,,
86,0.206,,0.24,,,,
87,0.1682,,0.1879,,,1.0,0.79
88,0.195,,0.227,,,,
89,0.191,,0.258,,,,
90,0.16798,,0.21067,,,,
91,0.216,0.005,0.242,,,,
92,0.19,,0.253,,,,
93,0.2122,,0.24807,,,,
94,0.2103,,0.2603,,,,
97,0.17972,,0.21635,,,,
98,0.1926,,0.21896,,,,
99,0.2115,,0.2511,,,,
100,0.211,,0.2519,,,,
104,0.2591,,0.2625,,,,
105,0.2161,,0.2688,,,,
109,0.2435,,0.2523,,,,
111,0.1457,,0.1877,,,,
116,0.2007,,0.2369,,,,
120,0.284083141182,,0.300280125102,,,,
124,0.1768,,0.2467,,,,
125,0.2366,,0.2676,,,,
126,0.2344,,0.2654,,,,
127,0.1872,,0.2372,,,,
130,0.22,,,,,,
131,0.203,,,,,,
132,0.1654,,0.2046,,,,
133,0.13003,,0.16921,,,,
134,0.1659,,0.1866,,,,
135,0.199,,0.257,,,,
136,0.241,,0.275,,,,
137,0.1931,,0.2262,,,1.0,1.0
138,0.1939,,0.2395,,,,
139,0.2068,,0.2364,,,1.0,1.0
140,0.23,,0.2543,,,,
141,0.196,,0.282,,,,
142,0.182,,0.2229,,,,
143,0.2381,,0.2923,0.1798,0.2318,,
144,0.1875,,0.2271,,,,
145,0.1747,,0.2173,,,,
146,0.1781,,0.1941,,,,
147,0.1823,,0.225,,,,
