,Pdb Code
0,1PRH
1,1PTH
2,1CQE
3,1EQG
4,1EBV
5,1Q4G
6,2AYL
7,3N8V
8,7JXT
9,6Y3C
10,1CX2
11,6BL4
12,4HHS
13,2SBL
14,1YGE
15,1LNH
16,2FNQ
17,3FG4
18,1LOX
19,3O8Y
20,4NRE
21,2SQC
22,1GOS
23,1OJA
24,1O5W
25,2BXR
26,2Z5X
27,3VV9
28,1MT5
29,5B49
30,4GGM
31,4EHW
32,4QN9
33,2YOC
34,6IEJ
35,6I8W
36,6A2E
37,5KN7
38,7OJT
39,6QGS
40,6IG4
41,3HYW
42,6MO6
43,2GMH
44,6DV2
45,7KOE
46,2QCU
47,4NM9
48,4G9K
49,4G6G
50,4NWZ
51,6BFG
52,6L06
53,7CNW
54,2OLV
55,2OQO
56,3VMA
57,7LQ6
58,2XCI
59,3VMT
60,6EJI
61,6RY0
62,5W7L
63,1B12
64,1KN9
65,1T7D
66,4WVG
67,3BF0
68,3RST
69,4KWB
70,4GWM
71,4LXJ
72,1J79
73,1XGE
74,1UUM
75,2PRM
76,3I65
77,3L7I
78,2K5U
79,2KSQ
80,3FSN
81,4F3D
82,4PLA
83,7APJ
84,3JC1
85,6TZ9
86,7ZCG
87,5FD7
88,5J45
89,6H7W
90,6MLU
91,7RSL
92,6QL4
93,6Q0X
94,6XU5
95,6UP6
96,7D6D
97,6ZG5
98,7BLN
99,6XJN
100,7SC0
101,7SOX
102,6VNW
103,5UV6
104,6YRK
105,6NZD
106,6ULG
107,4Y7I
108,6TZY
109,6KOI
110,6UXM
111,6L8V
112,7OFM
113,1VSG
114,2VSG
115,5LY9
116,6ELC
117,6Z7A
118,7AHL
119,3M2L
120,3ANZ
121,6U49
122,3B07
123,4P1Y
124,1LKF
125,4P1X
126,4TW1
127,6RHV
128,6U33
129,7P8T
130,6U3Y
131,4H56
132,1PFO
133,3KWV
134,3J9C
135,6VRA
136,7KXR
137,3NSJ
138,7PAG
139,6U23
140,8A1D
141,3O44
142,1XEZ
143,4HSC
144,3C0M
145,4MKO
146,5FMW
147,6DLW
148,6H03
149,7NYC
150,6CXO
151,5GAQ
152,5IMW
153,5IMY
154,5LY6
155,6RB9
156,6KLX
157,6UWR
158,7VNN
159,6X1K
160,2POR
161,1PRN
162,1BH3
163,1H6S
164,1OSM
165,6RD3
166,1E54
167,2FGR
168,2OMF
169,1MPF
170,1OPF
171,1GFM
172,1BT9
173,1HXX
174,2ZFG
175,3FYX
176,3O0E
177,3HW9
178,3K19
179,3POU
180,4D5U
181,6WTZ
182,7NSU
183,5O78
184,3NSG
185,6ENE
186,5O77
187,2J1N
188,2XE1
189,7JZ3
190,5O79
191,5O9C
192,5FVN
193,2F1C
194,2IWV
195,2X9K
196,2JQY
197,5MWV
198,6OQH
199,5OYK
200,5ONU
201,6EHB
202,1PHO
203,2MPR
204,1MAL
205,1MPM
206,1AF6
207,1A0T
208,1UUN
209,4GEY
210,4RJW
211,2O4V
212,3VZT
213,3WI4
214,7DE8
215,4AUI
216,4FQE
217,4V3G
218,4RL8
219,2N6L
220,5LDV
221,4D64
222,5MDO
223,5O65
224,6EUS
225,6R2Q
226,2ODJ
227,3SY7
228,3SY9
229,3SYB
230,2QTK
231,3SYS
232,3SZD
233,3SZV
234,3T0S
235,3T20
236,3T24
237,3JTY
238,5DL5
239,5DL6
240,5DL7
241,5DL8
242,1EK9
243,1TQQ
244,2VDE
245,6WXH
246,7NG8
247,4MT4
248,1YC9
249,1WP1
250,3D5K
251,5AZO
252,5AZS
253,5BUN
254,3PIK
255,4K7R
256,1NQE
257,1UJW
258,2GUF
259,2GSK
260,2YSU
261,3M8B
262,2HDI
263,1BXW
264,1QJP
265,1G90
266,2GE4
267,2JMM
268,2K0L
269,1I78
270,2X55
271,2F1V
272,2MHL
273,6QWR
274,4RL9
275,4RLC
276,2X27
277,2LHF
278,1QJ8
279,1ORM
280,1Q9F
281,2M06
282,3QRA
283,2N2M
284,5VJ8
285,3DZM
286,1QD5
287,1FW2
288,1ILZ
289,1K24
290,2VDF
291,1P4T
292,2WJR
293,2ERV
294,3FID
295,1MM4
296,1THQ
297,3GP6
298,1T16
299,3DWN
300,3PGR
301,3DWO
302,6KZ3
303,3EFM
304,3BS0
305,3BRY
306,1TLY
307,1BY3
308,2FCP
309,1QFG
310,1QKC
311,1FI1
312,2GRX
313,4CU4
314,8A60
315,4EPA
316,1FEP
317,6BPN
318,1KMO
319,1PNZ
320,2D1U
321,5FOK
322,5NEC
323,5FP1
324,5FP2
325,5FR8
326,3CSL
327,3FHH
328,1XKW
329,3QLB
330,1XKH
331,2O5P
332,2IAH
333,3RBH
334,4AFK
335,4XNL
336,7ULA
337,2VQI
338,3FIP
339,3RFZ
340,4J3O
341,6E14
342,7LHI
343,3V8X
344,2YNK
345,2MLH
346,4UV3
347,4Q79
348,6LQH
349,6L7A
350,6SI7
351,4ZGV
352,6GIE
353,4AIP
354,6E4V
355,6V81
356,5M9B
357,5NC3
358,6TZK
359,4RDT
360,4MT0
361,6V0C
362,7PGE
363,1UYN
364,2GR8
365,2QOM
366,3SLJ
367,3SZE
368,4MEE
369,3AEH
370,1WXR
371,3KVN
372,3ML3
373,4E1S
374,1F02
375,4E1T
376,1CWV
377,2LME
378,4C00
379,4RAP
380,3QQ2
381,6WIL
382,6WIM
383,7O23
384,4QKY
385,3NJT
386,2X8X
387,3MC9
388,4N75
