,bibliography_year,cell_angle_gamma,cell_angle_beta,Resolution
0,1994,90.0,90.0,3.5
1,1995,90.0,90.0,3.4
2,1995,90.0,90.0,3.1
3,2001,90.0,90.0,2.61
4,2001,90.0,90.0,3.2
5,2004,90.0,90.0,2.00
6,2006,90.0,90.0,2.00
7,2010,120.0,90.0,3.05
8,2021,120.0,90.0,3.35
9,2021,120.0,90.0,3.36
10,1996,90.0,90.0,3.0
11,2019,90.0,123.6,2.22
12,2013,90.0,90.0,1.70
13,1993,90.0,102.9,2.60
14,1996,90.0,90.1,1.40
15,1997,90.0,95.5,2.60
16,2005,90.0,96.66,3.20
17,2009,90.0,95.51,1.85
18,1997,120.0,90.0,2.40
19,2011,90.0,109.56,2.39
20,2014,120.0,90.0,2.63
21,1999,90.0,90.0,2.0
22,2002,90.0,90.0,3.0
23,2003,90.0,90.0,1.70
24,2004,90.0,90.0,3.20
25,2005,90.0,95.18,3.00
26,2008,90.0,90.0,2.20
27,2013,90.0,121.38,2.85
28,2002,90.0,115.21,2.8
29,2016,90.0,92.68,1.65
30,2012,90.0,90.0,2.90
31,2012,90.0,90.0,2.30
32,2015,120.0,90.0,2.65
33,2016,120.0,90.0,2.88
34,2019,90.0,90.0,2.21
35,2022,90.0,90.0,2.00
36,2018,90.0,90.0,1.94
37,2016,90.0,90.0,1.99
38,2021,90.0,90.33,3.67
39,2021,90.0,90.0,2.75
40,2019,90.0,90.0,2.26
41,2009,90.0,90.0,2.0
42,2009,90.0,90.0,2.0
43,2009,90.0,90.0,2.0
44,2009,90.0,90.0,2.0
45,2019,120.0,90.0,2.59
46,2006,90.0,90.0,2.5
47,2006,90.0,90.0,2.5
48,2006,90.0,90.0,2.5
49,2006,90.0,90.0,2.5
50,2019,90.0,105.61,3.6
51,2021,,,2.90
52,2008,90.0,90.0,1.75
53,2008,90.0,90.0,1.75
54,2008,90.0,90.0,1.75
55,2008,90.0,90.0,1.75
56,2014,90.0,90.0,1.90
57,2012,90.0,90.0,2.70
58,2012,90.0,90.0,2.39
59,2014,90.0,92.04,2.50
60,2018,90.0,90.0,2.2
61,2020,90.0,90.0,2.60
62,2021,90.0,90.0,1.90
63,2007,90.0,90.0,2.8
64,2007,90.0,90.0,2.1
65,2009,90.0,90.0,2.16
66,2021,,,3.28
67,2012,90.0,97.23,2.00
68,2012,90.0,90.0,2.30
69,2018,90.0,90.13,2.3
70,2020,90.0,90.27,1.05
71,1998,90.0,90.0,1.9
72,2002,90.0,90.0,2.40
73,2004,90.0,90.0,2.47
74,2016,90.0,92.59,2.05
75,2008,90.0,104.25,2.55
76,2008,90.0,104.25,2.55
77,2008,90.0,104.25,2.55
78,2008,90.0,104.25,2.55
79,2012,90.0,90.0,2.37
80,2012,90.0,90.0,2.37
81,2012,90.0,90.0,2.37
82,2012,90.0,90.0,2.37
83,2013,90.0,90.0,2.39
84,2013,90.0,90.0,2.39
85,2013,90.0,90.0,2.39
86,2013,90.0,90.0,2.39
87,2012,65.13,80.08,1.85
88,2014,90.0,99.54,1.90
89,2001,90.0,90.0,1.70
90,2005,90.0,90.0,1.90
91,2004,120.0,90.0,2.30
92,2008,120.0,90.0,3.00
93,2009,120.0,90.0,2.00
94,2010,90.0,90.0,2.70
95,2009,,,NMR Structure
96,2010,,,NMR Structure
97,2009,120.0,90.0,2.14
98,2012,120.0,90.0,2.50
99,2014,90.0,90.0,2.77
100,2021,90.0,90.0,2.05
101,2015,,,4.00
102,2020,,,6.20
103,2023,,,3.30
104,2015,90.0,97.52,2.40
105,2016,90.0,90.0,2.76
106,2018,,,11.4
107,2018,,,4
108,2022,,,3.45
109,2019,90.0,90.0,3.6
110,2020,,,4.20
111,2020,90.0,90.0,1.65
112,2021,,,9.0
113,2021,,,9.00
114,2021,,,40.0
115,2021,,,8.90
116,2021,90.0,90.0,2.20
117,2022,,,3.40
118,2022,,,7.60
119,2020,,,3.44
120,2019,90.0,90.0,2.65
121,2020,,,4.10
122,2019,,,3.6
123,2019,,,3.31
124,2015,90.0,90.0,2.8
125,2020,90.0,116.19,3
126,2020,90.0,90.0,3.50
127,2020,97.02,109.67,2.49
128,2021,,,NMR structure
129,2021,,,NMR structure
130,1990,90.0,90.0,2.90
131,1993,90.0,90.0,2.70
132,2017,90.0,90.0,1.65
133,2018,90.0,90.0,1.41
134,2021,90.0,90.0,1.21
135,1996,90.0,91.4,1.9
136,2010,90.0,90.62,2.10
137,2011,90.0,92.42,2.30
138,2020,90.0,91.53,2.35
139,2011,90.0,90.0,2.50
140,2014,90.0,99.04,2.99
141,1999,90.0,90.0,1.9
142,2014,90.0,118.94,2.40
143,2015,90.0,103.26,2.80
144,2020,90.0,90.0,2.29
145,2020,90.0,120.85,1.75
146,2022,90.0,90.0,1.46
147,2020,90.0,90.0,2.04
148,2013,90.0,109.42,3.90
149,1997,90.0,90.0,2.20
150,2010,90.0,90.0,3.10
151,2015,,,2.9
152,2020,,,3.30
153,2021,,,3.30
154,2010,90.0,90.0,2.75
155,2022,,,4.00
156,2019,,,3.49
157,2022,,,3.00
158,2011,90.0,90.0,2.88
159,2005,90.0,90.0,2.30
160,2014,90.0,92.08,2.10
161,2013,90.0,90.0,2.88
162,2015,90.0,90.0,1.70
163,2016,,,8
164,2018,,,3.9
165,2018,,,5.6
166,2021,,,3.54
167,2018,90.0,90.0,2.2
168,2016,,,3.1
169,2016,90.0,90.0,2.89
170,2016,90.0,90.0,2.4
171,2017,,,4.5
172,2019,,,3.2
173,2020,,,2.9
174,2020,,,2.8
175,2022,,,2.64
176,2021,,,NMR structure
177,1992,120.0,90.0,1.8
178,1994,120.0,90.0,1.96
179,1998,120.0,90.0,2.19
