,cell_length_b,cell_volume,cell_length_c,Resolution
0,210.3,,233.1,3.5
1,209.8,,235.0,3.4
2,210.3,,233.1,3.1
3,204.99,,221.96,2.61
4,207.46,,221.98,3.2
5,203.859,,223.599,2.00
6,206.55,,221.553,2.00
7,181.907,,102.579,3.05
8,181.6,,103.401,3.35
9,182.11,,103.24,3.36
10,133.92,,121.14,3.0
11,120.414,,134.417,2.22
12,102.15,,137.565,1.70
13,125.6,,94.7,2.60
14,94.0,,49.9,1.40
15,137.4,,61.85,2.60
16,78.023,,176.49,3.20
17,170.382,,104.9,1.85
18,198.9,,136.1,2.40
19,202.89,,76.8,2.39
20,155.794,,263.219,2.63
21,118.82,,276.2,2.0
22,224.3,,87.2,3.0
23,221.964,,85.966,1.70
24,157.56,,257.84,3.20
25,109.599,,81.329,3.00
26,218.706,,54.373,2.20
27,63.12,,136.457,2.85
28,272.019,,147.216,2.8
29,108.862,,51.555,1.65
30,74.286,,364.644,2.90
31,101.191,,131.904,2.30
32,95.099,,444.17,2.65
33,179.15,,334.69,2.88
34,187.388,,68.754,2.21
35,133.871,,212.358,2.00
36,59.541,,116.32,1.94
37,145.33,,87.21,1.99
38,92.97,,81.09,3.67
39,81.66,,441.946,2.75
40,116.538,,108.548,2.26
41,154.01,,175.55,2.0
42,154.01,,175.55,2.0
43,154.01,,175.55,2.0
44,154.01,,175.55,2.0
45,119.39,,551.858,2.59
46,154.322,,128.536,2.5
47,154.322,,128.536,2.5
48,154.322,,128.536,2.5
49,154.322,,128.536,2.5
50,237.938,,141.319,3.6
51,,,,2.90
52,114.097,,192.801,1.75
53,114.097,,192.801,1.75
54,114.097,,192.801,1.75
55,114.097,,192.801,1.75
56,151.209,,175.126,1.90
57,165.56,,70.0,2.70
58,230.598,,112.25,2.39
59,114.477,,130.594,2.50
60,129.879,,143.26,2.2
61,172.012,,80.588,2.60
62,79.817,,147.089,1.90
63,212.211,,91.635,2.8
64,100.305,,104.012,2.1
65,289.53,,62.78,2.16
66,,,,3.28
67,45.82,,144.07,2.00
68,67.429,,152.186,2.30
69,127.03,,71.58,2.3
70,54.989,,80.416,1.05
71,113.2,,99.2,1.9
72,112.441,,198.675,2.40
73,69.609,,258.466,2.47
74,63.565,,79.892,2.05
75,153.485,,100.659,2.55
76,153.485,,100.659,2.55
77,153.485,,100.659,2.55
78,153.485,,100.659,2.55
79,131.066,,207.263,2.37
80,131.066,,207.263,2.37
81,131.066,,207.263,2.37
82,131.066,,207.263,2.37
83,130.979,,207.099,2.39
84,130.979,,207.099,2.39
85,130.979,,207.099,2.39
86,130.979,,207.099,2.39
87,71.12,,85.74,1.85
88,67.005,,80.378,1.90
89,78.8,,180.3,1.70
90,78.826,,180.222,1.90
91,133.15,,50.13,2.30
92,90.05,,123.2,3.00
93,85.858,,138.352,2.00
94,223.739,,100.691,2.70
95,,,,NMR Structure
96,,,,NMR Structure
97,176.516,,86.862,2.14
98,175.258,,86.449,2.50
99,79.539,,78.704,2.77
100,72.197,607398.515,120.173,2.05
101,,,,4.00
102,,,,6.20
103,,,,3.30
104,52.196,,54.486,2.40
105,29.767,,174.311,2.76
106,,,,11.4
107,,,,4
108,,,,3.45
109,147.4,,344.68,3.6
110,,,,4.20
111,58.26,345260.831,101.72,1.65
112,,,,9.0
113,,,,9.00
114,,,,40.0
115,,,,8.90
116,138.86,1520882.521,202.19,2.20
117,,,,3.40
118,,,,7.60
119,,,,3.44
120,93.564,2295004.073,262.158,2.65
121,,,,4.10
122,,,,3.6
123,,,,3.31
124,77.188,,197.793,2.8
125,135.126,,90.974,3
126,190.434,,237.012,3.50
127,55.04,,56.5,2.49
128,,,,NMR structure
129,,,,NMR structure
130,97.5,,123.7,2.90
131,98.8,,172.9,2.70
132,95.041,,103.753,1.65
133,129.854,,129.854,1.41
134,71.062,436091.152,130.453,1.21
135,136.76,,135.12,1.9
136,134.8,,132.89,2.10
137,293.877,,170.545,2.30
138,135.044,,132.449,2.35
139,206.141,,190.299,2.50
140,197.05,,192.965,2.99
141,48.53,,147.51,1.9
142,193.16,,116.38,2.40
143,198.558,,179.535,2.80
144,130.494,1856995.023,109.051,2.29
145,48.732,,66.731,1.75
146,72.199,,78.807,1.46
147,139.097,,246.77,2.04
148,168.04,,160.46,3.90
149,178.292,,174.207,2.20
150,178.381,,240.363,3.10
151,,,,2.9
152,,,,3.30
153,,,,3.30
154,109.8,,141.03,2.75
155,,,,4.00
156,,,,3.49
157,,,,3.00
158,182.859,,430.395,2.88
159,97.321,,135.128,2.30
160,85.343,,81.223,2.10
161,92.434,,169.049,2.88
162,117.649,,150.584,1.70
163,,,,8
164,,,,3.9
165,,,,5.6
166,,,,3.54
167,149.213,,165.827,2.2
168,,,,3.1
169,101.565,,175.735,2.89
170,141.713,,106.732,2.4
171,,,,4.5
172,,,,3.2
173,,,,2.9
174,,,,2.8
175,,,,2.64
176,,,,NMR structure
177,92.3,,146.2,1.8
178,104.3,,124.6,1.96
179,104.25,,124.93,2.19
180,104.2,,124.9,3.00
181,76.8,,223.4,3.2
182,316.09,,73.79,1.98
183,107.25,,140.59,2.1
184,106.41,,93.79,1.5
185,118.5,,52.7,2.4
186,117.9,,52.8,3.00
187,154.9,,172.2,3.20
188,118.3,,52.8,3.50
189,118.5,,52.7,3.00
190,118.105,,52.565,2.20
191,116.923,,51.346,1.6
192,135.52,,47.52,3.40
193,101.618,1667157.395,162.142,3.01
194,117.545,,121.287,2.61
195,210.522,,137.042,3.79
196,85.71,,332.941,2.80
197,115.69,,222.854,3.5
198,,,,2.54
199,,,,4.70
200,115.94,,216.661,2.85
201,139.335,,150.772,2.79
202,187.253,,122.957,2.3
203,77.312,,114.044,1.5
204,99.391,,74.328,2.0
205,120.4,,158.1,2.50
206,,,,2.56
207,74.511,,90.814,1.65
208,125.098,,126.542,2.47
209,123.26,,116.01,1.45
210,70.142,,59.501,2.3
211,77.0,,103.9,2.3
212,70.96,,119.17,2.18
213,,,,NMR Structure (DPC micelles)
214,,,,solid-state NMR structure
215,,,,NMR Structure
216,74.33,,62.31,3.2
217,153.47,,81.01,2.22
218,153.84,,66.17,1.55
219,119.9,,51.9,3.0
220,211.8,,184.3,2.4
221,214.79,,220.19,3.1
222,211.7,,218.2,2.6
223,211.51,,217.91,2.4
224,111.8,,147.8,2.4
225,113.86,,229.3,2.5
226,88.343,,177.706,2.70
227,86.971,,158.5,1.52
228,142.769,,62.025,1.9
229,83.052,,106.371,2.30
230,148.291,,104.045,3.32
231,84.396,,107.11,2.76
232,111.47,,88.34,3.20
233,59.674,,51.564,2.10
234,105.226,,111.815,2.51
235,120.309,,131.396,2.30
236,,,,NMR structure
237,90.63,,104.4,2.1
238,142.02,,113.32,3.2
239,123.379,,147.026,1.95
240,124.731,,80.359,2.5
241,108.382,,216.202,2.2
242,234.165,,99.192,2.70
243,97.525,,95.788,2.9
244,103.892,,47.544,2.15
245,102.828,,101.696,2.80
246,159.828,,82.064,2.70
247,96.697,,121.411,2.8
248,96.84,,121.557,1.65
249,206.899,,51.581,2.30
250,78.769,,50.497,1.45
251,115.032,,100.632,2.10
252,123.989,,114.349,2.60
253,78.464,,97.519,2.35
254,210.624,,84.066,2.60
255,134.073,,54.41,2.05
256,150.169,,105.224,2.9
257,125.717,,137.459,1.75
258,90.555,,101.668,2.2
259,265.049,,95.959,2.1
260,265.276,,96.253,2.75
261,136.176,,136.133,3.2
262,,,,3.09
263,,,,3.20
264,146.324,,418.866,2.37
265,71.458,,190.702,1.8
266,85.43,,1044.3,2.56
267,70.2,,344.5,2.40
268,76.501,,191.833,1.69
269,92.388,,252.765,3.10
270,246.847,,65.676,2.98
271,89.03,,473.037,2.30
272,89.026,,474.103,2.09
273,81.59,,210.078,2.0
274,80.098,,233.595,2.75
275,80.877,,118.681,1.95
276,82.439,,122.632,2.1
277,80.685,,235.916,3.50
278,81.29,,226.562,2.44
279,130.494,,56.261,2.5
280,77.95,,50.93,2.50
281,79.7,,50.2,1.60
282,,,,NMR Structure
283,,,,NMR structure
284,,,,NMR Structure
285,,,,NMR Structure
286,98.389,,165.695,2.6
287,140.341,,130.426,1.90
288,118.776,,118.519,2.7
289,,,,NMR structure
290,,,,NMR structure
291,63.26,,73.668,2.70
292,26.779,,54.892,1.6
293,58.38,,164.433,2.4
294,,,,NMR Structure
295,82.4,,206.3,1.9
296,,,,NMR (DHPC micelles)
297,,,,"NMR (DPC micelles, with H-bond constraints)"
298,,,,NMR Structure
299,50.236,,170.623,1.80
300,,,,NMR structure
301,,,,NMR structure
302,166.98,,98.12,2.8
303,78.55,,101.52,2.17
304,77.532,,100.525,2.60
305,78.168,,101.685,2.50
306,46.346,,73.977,2.0
307,42.5,,150.3,1.95
308,97.372,,171.939,2.55
309,74.901,,126.41,1.80
310,48.993,,105.026,2.00
311,127.65,,60.66,1.90
312,,,,NMR
313,50.67,,158.48,1.90
314,113.228,,55.064,1.40
315,68.664,,106.024,2.6
316,147.048,,151.958,2.5
317,65.202,,288.765,2.60
318,233.054,,81.899,2.2
319,,,,3.1
320,188.847,,62.437,2.3
321,41.415,,141.064,2.6
322,125.244,,269.511,3.2
323,149.778,,120.888,3.0
324,89.9,,90.0,2.7
325,171.55,,87.65,2.50
326,171.55,,87.65,2.5
327,171.8,,86.35,3.10
328,172.82,,87.91,2.90
329,91.84,,138.51,3.3
330,277.05,,106.76,2.30
331,98.287,,236.588,3.37
332,181.179,,319.861,3.20
333,127.6,,135.7,2.4
334,148.945,,105.061,2.1
335,88.086,,94.578,2.0
336,88.459,,95.3,2.5
337,,,,NMR Structure
338,132.97,,73.59,1.90
339,136.452,,118.955,2.30
340,100.13,,163.64,1.94
341,95.28,,131.83,2.97
342,99.09,,504.37,2.83
343,163.4,,595.53,2.7
344,114.217,,117.085,2.6
345,84.54,,162.16,2.0
346,170.83,,232.62,3.26
347,231.342,,121.695,3.6
348,128.78,,139.15,2.77
349,82.123,,286.225,2.73
350,90.696,,160.279,2.30
351,74.416,,115.529,1.90
352,73.122,,184.84,2.90
353,169.95,4130847.018,143.02,2.46
354,101.9,,113.7,3.2
355,120.036,,354.151,3.15
356,95.9,,144.57,2.80
357,122.36,,328.46,3.80
358,,,,4
359,,,,7.60
360,129.362,,198.589,2.60
361,152.08,,95.04,2.64
362,,,,NMR strucuture
363,372.847,,161.972,3.59
364,176.88,,104.99,3.10
365,,,,2.94
366,,,,3.38
367,,,,3.40
368,79.886,,137.905,3.2
369,73.74,,53.03,2.2
370,104.62,,269.1,2.40
371,103.86,,118.62,2
372,98.64,,124.86,2.96
373,158.18,,77.84,2.12
374,155.171,,77.796,2.57
375,73.721,,85.777,1.85
376,156.227,,158.075,3.20
377,94.096,,392.368,3.29
378,,,,3.46
379,75.538,452691.559,91.51,2.00
380,57.97,,346.435,2.60
381,82.261,,82.502,2.0
382,53.298,,102.418,2.7
383,122.027,,123.641,2.48
384,88.34,,311.533,2.50
385,85.85,,134.05,3.00
386,68.893,,78.378,2.00
387,115.028,,437.057,2.20
388,143.826,,186.883,2.50
389,104.22,,61.58,2.00
390,120.248,,39.093,1.86
391,349.0,,47.8,2.90
392,124.885,,65.073,2.26
393,50.66,,97.92,2.30
394,,,,NMR Structure
395,261.06,,57.84,2.25
396,314.368,,164.527,2.88
397,122.372,,405.549,3.00
398,49.283,,86.884,2.40
399,183.379,,45.324,2.60
400,57.39,1473325.249,516.53,1.40
401,136.65,,112.27,3.15
402,139.39,,113.08,3.50
403,158.18,,158.18,1.97
404,108.366,,60.238,2.20
405,159.883,,56.0,2.60
406,80.372,,89.247,2.50
407,270.206,,190.618,3.20
408,88.162,,244.454,2.91
409,94.048,,109.176,2.2
410,92.509,,142.429,3.3
411,,,,NMR Structure
412,118.492,,69.992,2.69
413,39.005,,32.561,1.5
414,67.347,,109.795,3.00
415,159.378,,55.926,2.2
416,135.542,,89.754,1.94
417,120.967,,134.117,1.80
418,101.71,,108.78,2.60
419,121.437,,134.291,1.65
420,101.841,,110.598,2.60
421,121.123,,133.294,2.00
422,109.642,,49.488,2.15
423,46.631,,60.208,1.55
424,59.12,,31.06,1.25
425,,,,NMR Structure
426,78.85,,52.9,1.50
427,114.37,,77.63,2.15
428,33.428,,57.783,1.80
429,106.549,,65.07,2.60
430,64.415,,166.392,2.50
431,,,,NMR structure
432,96.52,,50.49,1.80
433,86.075,,49.919,2.45
434,133.38,,144.992,2.90
435,109.231,,103.988,3.4
436,104.674,,104.971,2.60
437,48.062,,78.027,2.0
438,116.689,,435.192,2.90
439,116.428,,434.407,3.56
440,55.232,,106.981,4.9
441,,,,4.10
442,142.53,,116.42,3.79
443,,,,6.65
444,,,,4.10
445,117.073,,429.093,3.05
446,,,,3.03
447,,,,8.00
448,,,,3.60
449,,,,3.00
450,,,,NMR structure
451,77.99,,167.04,4
452,,,,NMR structure
453,,,,NMR structure
454,58.39,,66.58,2.3
455,58.369,,66.545,2.28
456,58.21,394913.599,69.54,3.12
457,72.47,,177.95,2.80
458,,,,6.8
459,,,,3.81
460,,,,3.06
461,,,,3.01
462,,,,3.40
463,,,,3.00
464,,,,2.53
465,,,,3.4
466,76.082,,213.596,2.80
467,116.62,,68.038,2.39
468,87.67,,104.36,2.34
469,143.972,,90.56,2.82
470,176.354,,143.848,2.75
471,173.05,,84.757,2.94
472,155.985,,115.654,2.99
473,,,,3.40
474,122.743,,122.83,2.75
475,237.835,,170.505,2.69
476,142.021,4480894.52,241.59,3.04
477,,,,3.04
478,,,,3.26
479,,,,4.3
480,,,,2.70
481,,,,6.3
482,,,,3.10
483,53.183,,56.851,1.20
484,,,,3.60
485,,,,2.11
486,,,,4.2
487,,,,3.6
488,,,,5.15
489,,,,3.86
490,,,,4.05
491,,,,4.10
492,,,,3.50
493,,,,3.40
494,,,,3.56
495,324.92,17217918.51,369.38,4.10
496,211.63,,203.44,2.60
497,,,,3.5
498,163.277,,112.22,2.80
499,,,,2.70
