,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c,cell_zpdb,citation_journal_volume,Resolution
0,90.0,99.4,210.3,233.1,16.0,145.66666666666666,3.5
1,90.0,99.57,209.8,235.0,16.0,145.66666666666666,3.4
2,90.0,99.4,210.3,233.1,16.0,145.66666666666666,3.1
3,90.0,98.65,204.99,221.96,16.0,40.0,2.61
4,90.0,98.87,207.46,221.98,8.0,60.0,3.2
5,90.0,98.147,203.859,223.599,16.0,335.0,2.00
6,90.0,98.931,206.55,221.553,16.0,62.0,2.00
7,120.0,181.907,181.907,102.579,12.0,49.0,3.05
8,120.0,181.6,181.6,103.401,12.0,8.0,3.35
9,120.0,182.11,182.11,103.24,12.0,11.0,3.36
10,90.0,180.34,133.92,121.14,16.0,31.0,3.0
11,90.0,214.795,120.414,134.417,16.0,294.0,2.22
12,90.0,102.15,102.15,137.565,8.0,52.0,1.70
13,90.0,184.5,125.6,94.7,8.0,85.33333333333333,2.60
14,90.0,94.9,94.0,49.9,2.0,166.66666666666666,1.40
15,90.0,112.8,137.4,61.85,4.0,53.333333333333336,2.60
16,90.0,69.554,78.023,176.49,4.0,280.0,3.20
17,90.0,104.361,170.382,104.9,8.0,255.33333333333334,1.85
18,120.0,198.9,198.9,136.1,18.0,8.0,2.40
19,90.0,55.17,202.89,76.8,4.0,331.0,2.39
20,120.0,155.794,155.794,263.219,18.0,289.0,2.63
21,90.0,118.82,118.82,276.2,16.0,40.0,2.0
22,90.0,138.8,224.3,87.2,16.0,9.0,3.0
23,90.0,130.34,221.964,85.966,16.0,100.0,1.70
24,90.0,157.56,157.56,257.84,32.0,338.0,3.20
25,90.0,143.493,109.599,81.329,8.0,102.0,3.00
26,90.0,135.263,218.706,54.373,8.0,105.0,2.20
27,90.0,261.312,63.12,136.457,16.0,110.0,2.85
28,90.0,147.107,272.019,147.216,32.0,298.0,2.8
29,90.0,48.937,108.862,51.555,4.0,6.0,1.65
30,90.0,74.286,74.286,364.644,16.0,19.0,2.90
31,90.0,101.191,101.191,131.904,8.0,109.0,2.30
32,120.0,95.099,95.099,444.17,24.0,23.0,2.65
33,120.0,179.15,179.15,334.69,24.0,24.0,2.88
34,90.0,108.294,187.388,68.754,24.0,8.0,2.21
35,90.0,133.871,133.871,212.358,32.0,11.0,2.00
36,90.0,45.896,59.541,116.32,4.0,430.0,1.94
37,90.0,58.77,145.33,87.21,8.0,113.0,1.99
38,90.0,81.31,92.97,81.09,8.0,7.0,3.67
39,90.0,81.66,81.66,441.946,48.0,151.66666666666666,2.75
40,90.0,109.069,116.538,108.548,16.0,27.0,2.26
41,90.0,110.78,154.01,175.55,24.0,106.0,2.0
42,90.0,110.78,154.01,175.55,24.0,106.0,2.0
43,90.0,110.78,154.01,175.55,24.0,106.0,2.0
44,90.0,110.78,154.01,175.55,24.0,106.0,2.0
45,120.0,119.39,119.39,551.858,48.0,27.0,2.59
46,90.0,154.322,154.322,128.536,16.0,103.0,2.5
47,90.0,154.322,154.322,128.536,16.0,103.0,2.5
48,90.0,154.322,154.322,128.536,16.0,103.0,2.5
49,90.0,154.322,154.322,128.536,16.0,103.0,2.5
50,90.0,136.536,237.938,141.319,12.0,116.0,3.6
51,100.0,70.23899999999999,61.52533333333333,239.03966666666665,8.666666666666666,118.0,2.90
52,90.0,113.791,114.097,192.801,16.0,105.0,1.75
53,90.0,113.791,114.097,192.801,16.0,105.0,1.75
54,90.0,113.791,114.097,192.801,16.0,105.0,1.75
55,90.0,113.791,114.097,192.801,16.0,105.0,1.75
56,90.0,95.246,151.209,175.126,8.0,111.0,1.90
57,90.0,116.12,165.56,70.0,8.0,109.0,2.70
