,PCA_1,PCA_2
249,20.09914,12.338584
433,7.9623957,-14.924001
19,20.567379,14.063236
322,-2.9952574,6.894941
332,1.1199597,13.871023
56,15.931565,7.9486804
301,-28.284492,-10.533342
229,-35.09817,-11.913079
331,-32.412014,-11.385636
132,11.8489485,-6.067826
137,-6.077709,17.355818
423,-36.861008,-14.35083
335,20.213661,-4.679069
25,10.119518,7.1849737
464,-28.284119,-10.532855
281,13.488635,-11.974825
247,11.365877,-5.4847345
237,-35.665154,-15.216695
117,-26.737295,-0.87287474
42,-0.31025267,6.4459233
220,-2.1118512,21.6074
176,18.138992,0.9844254
320,4.021567,15.716698
153,-18.173567,1.2334867
231,-6.2462626,-12.951294
227,-33.851357,-11.610807
417,5.2336636,-12.334451
203,-35.64177,-12.284391
126,-5.827412,14.66198
329,10.470283,18.579712
31,9.26959,-2.6353245
113,-13.239076,-8.975188
470,17.343054,11.732854
271,-28.529015,-13.784828
140,1.4664662,15.264685
57,11.4394045,9.787155
192,-36.776855,-4.2277236
24,-3.1827822,11.200136
17,20.61145,2.4789994
265,-33.828415,-14.324869
66,-17.106339,5.264292
208,-34.482407,-5.4788923
479,15.884741,10.9268875
94,-1.06997,15.685778
253,21.601767,-14.139622
266,-26.856499,-15.140191
23,1.2142814,21.399685
222,-1.2623701,21.374311
261,7.064758,9.07719
426,-36.27583,-11.780474
5,-2.0098343,23.743076
116,19.2135,5.4180493
45,-26.961674,-14.058343
16,5.133064,-15.21894
462,14.204706,-14.718912
357,-1.5860918,-11.418937
3,-0.4769058,24.865847
218,19.662794,8.44408
405,11.327892,10.259289
60,3.097818,4.3986964
110,-17.926249,0.4945552
318,20.016861,13.995259
428,8.329362,-18.51873
29,22.75615,5.5973372
437,15.988541,-11.940478
471,18.885971,10.459303
26,2.1567762,21.60482
7,-35.020546,0.48270422
453,4.9927087,10.558631
108,8.078025,1.4596235
37,20.14788,7.2699046
157,-13.6899805,-3.4688647
489,-12.849681,-7.9448137
118,-16.257565,8.494402
114,-17.644732,5.1664643
175,-16.257565,8.494402
373,18.192133,9.491787
181,10.802808,15.764422
144,7.9282436,7.8153114
369,14.121584,-11.639656
390,9.686242,3.1366396
195,-0.06329921,20.040213
404,-37.797115,-9.41839
275,6.452155,-15.366055
454,16.691277,-8.274223
141,14.339616,-16.74059
365,-27.227453,-5.9059057
67,21.500278,-6.580259
210,19.20727,-5.7641706
168,13.404607,4.4371123
493,-13.238951,-8.975183
375,14.604611,-8.753948
400,-28.365797,-13.015807
272,-28.763502,-15.248642
109,-3.036364,-10.655535
248,11.165256,-5.7555904
145,20.801727,-6.627741
92,-34.722393,-10.7189865
152,8.246095,9.779015
367,-14.228289,-3.7040484
467,11.169271,19.227602
83,-2.2333086,4.6179485
245,22.20584,-13.941148
165,17.071274,11.037894
163,12.837569,4.3304086
199,-13.691773,-3.1391656
228,8.462851,18.21818
74,15.083124,-13.65965
478,-16.357063,-0.97756445
358,-2.2187407,-11.531339
250,12.059933,5.998776
119,16.974888,10.50592
310,17.130978,-9.760135
299,13.055562,-16.961143
255,-36.321957,-4.8159842
354,9.779928,14.331814
399,12.635242,10.705887
225,-4.2828426,5.112182
353,3.0435877,14.391942
234,10.776818,-13.541955
382,16.17167,-10.429887
274,8.435329,-7.9191723
36,6.717762,-17.8119
196,-30.127718,-13.745781
139,-1.4946454,14.985513
364,-2.3656569,13.545493
244,10.771981,5.8205976
439,0.19796278,-2.0718927
286,-33.533077,-9.608525
59,12.62457,-3.223213
111,7.6585627,-17.00839
89,12.289295,-14.883112
436,-9.565714,-5.9893875
6,-0.27239132,24.41215
360,1.9555973,-11.743188
346,1.9121386,13.094741
338,8.3171,16.164785
158,-5.216132,12.868917
150,-1.7426614,14.045569
177,-34.3101,-11.219155
393,7.9959536,-17.706257
184,-37.21302,-10.050148
449,5.2280293,12.995785
10,7.107466,15.307603
380,-29.8451,-12.530599
103,7.7498264,1.7162784
81,-5.185997,4.0165997
38,12.37978,-6.3399415
314,-35.62319,-7.2455497
167,20.900957,8.307049
469,-34.020153,-2.416378
296,-13.3403845,-0.9487396
474,-9.113021,-6.136013
198,-27.227453,-5.9059057
297,-13.340717,-0.9487459
