,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a
249,90.0,99.09,90.0,46.321
433,90.0,90.0,90.0,62.804
19,90.0,109.56,90.0,55.17
322,90.0,90.0,90.0,125.291
332,90.0,90.0,90.0,181.179
56,90.0,90.0,90.0,95.246
301,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
229,90.0,90.0,120.0,83.052
331,90.0,90.0,120.0,98.287
132,90.0,90.0,90.0,78.507
137,90.0,92.42,90.0,102.821
423,102.7,92.86,118.2,46.577
335,90.0,90.0,90.0,117.083
25,90.0,95.18,90.0,143.493
464,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
281,90.0,94.3,90.0,65.1
247,90.0,90.0,90.0,81.889
237,90.0,90.0,120.0,90.63
117,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
42,90.0,90.0,90.0,110.78
220,90.0,90.0,90.0,124.5
176,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
320,90.0,90.0,90.0,165.893
153,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
231,90.0,90.0,120.0,84.396
227,90.0,90.0,120.0,86.971
417,90.0,90.0,90.0,50.221
203,90.0,90.0,120.0,77.312
126,90.0,90.0,90.0,142.04
329,90.0,118.86,90.0,234.32
31,90.0,90.0,90.0,101.191
113,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
470,90.0,96.11,90.0,82.892
271,90.0,90.0,120.0,89.03
140,90.0,99.04,90.0,197.056
57,90.0,90.0,90.0,116.12
192,90.0,90.0,120.0,135.52
24,90.0,90.0,90.0,157.56
17,90.0,95.51,90.0,104.361
265,90.0,90.0,120.0,71.458
66,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
208,90.0,90.0,120.0,125.098
479,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
94,90.0,90.0,90.0,223.739
253,77.76,81.5,70.04,64.722
266,90.0,90.0,120.0,85.43
23,90.0,90.0,90.0,130.34
222,90.0,90.0,90.0,129.8
261,90.0,90.0,90.0,128.284
426,90.0,90.0,120.0,78.85
5,90.0,90.0,90.0,98.147
116,90.0,90.0,90.0,54.17
45,90.0,90.0,120.0,119.39
16,90.0,96.66,90.0,69.554
462,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
357,90.0,90.0,90.0,122.36
3,90.0,90.0,90.0,98.65
218,90.0,102.32,90.0,62.723
405,90.0,90.0,90.0,118.492
60,90.0,90.0,90.0,123.358
110,90.18173126614988,93.56709043927648,96.34658914728683,108.64468733850129
318,90.0,90.0,90.0,56.777
428,90.0,111.41,90.0,53.112
29,90.0,92.68,90.0,48.937
437,90.0,104.31,90.0,69.909
471,90.0,111.26,90.0,75.02
26,90.0,90.0,90.0,135.263
7,90.0,90.0,120.0,181.907
