,Resolution
249,2.30
433,2.45
19,2.39
322,3.2
332,3.20
56,1.90
301,NMR structure
229,2.30
331,3.37
132,1.65
137,2.30
423,1.55
335,2.0
25,3.00
464,2.53
281,1.60
247,2.8
237,2.1
117,3.40
42,2.0
220,2.4
176,NMR structure
320,2.3
153,3.30
231,2.76
227,1.52
417,1.80
203,1.5
126,3.50
329,3.3
31,2.30
113,9.00
470,2.75
271,2.30
140,2.99
57,2.70
192,3.40
24,3.20
17,1.85
265,1.8
66,3.28
208,2.47
479,4.3
94,2.70
253,2.35
266,2.56
23,1.70
222,2.6
261,3.2
426,1.50
5,2.00
116,2.20
45,2.59
16,3.20
462,3.40
357,3.80
3,2.61
218,1.55
405,2.60
60,2.2
110,4.20
318,2.2
428,1.80
29,1.65
437,2.0
471,2.94
26,2.20
7,3.05
453,NMR structure
108,3.45
37,1.99
157,3.00
489,3.86
118,7.60
114,40.0
175,2.64
373,2.12
181,3.2
144,2.29
369,2.2
390,1.86
195,3.79
404,2.20
275,1.95
454,2.3
141,1.9
365,2.94
67,2.00
210,2.3
168,3.1
493,3.40
375,1.85
400,1.40
272,2.09
109,3.6
248,1.65
145,1.75
92,3.00
152,3.30
367,3.40
467,2.39
83,2.39
245,2.80
165,5.6
163,8
199,4.70
228,1.9
74,2.05
478,3.26
358,4
250,1.45
119,3.44
310,2.00
299,1.80
255,2.05
354,3.2
399,2.60
225,2.5
353,2.46
234,2.51
382,2.7
274,2.75
36,1.94
196,2.80
139,2.50
364,3.10
244,2.15
439,3.56
286,2.6
59,2.50
111,1.65
89,1.70
436,2.60
6,2.00
360,2.60
346,3.26
338,1.90
158,2.88
150,3.10
177,1.8
393,2.30
184,1.5
449,3.00
10,3.0
380,2.60
103,3.30
81,2.37
38,3.67
314,1.40
167,2.2
469,2.82
296,NMR (DHPC micelles)
474,2.75
198,2.54
297,"NMR (DPC micelles, with H-bond constraints)"
416,1.94
146,1.46
392,2.26
147,2.04
447,8.00
287,1.90
123,3.31
368,3.2
96,NMR Structure
143,2.80
239,1.95
442,3.79
97,2.14
407,3.20
122,3.6
183,2.1
202,2.3
246,2.70
305,2.50
298,NMR Structure
351,1.90
386,2.00
395,2.25
284,NMR Structure
125,3
302,2.8
223,2.4
418,2.60
219,3.0
129,NMR structure
420,2.60
289,NMR structure
444,4.10
376,3.20
291,2.70
355,3.15
294,NMR Structure
396,2.88
340,1.94
112,9.0
179,2.19
307,1.95
432,1.80
487,3.6
481,6.3
422,2.15
233,2.10
311,1.90
164,3.9
136,2.10
197,3.5
258,2.2
232,3.20
115,8.90
120,2.65
349,2.73
224,2.4
402,3.50
397,3.00
127,2.49
285,NMR Structure
411,NMR Structure
107,4
370,2.40
325,2.50
133,1.41
452,NMR structure
44,2.0
460,3.06
65,2.16
283,NMR structure
85,2.39
242,2.70
186,3.00
383,2.48
159,2.30
12,1.70
35,2.00
28,2.8
170,2.4
142,2.40
398,2.40
342,2.83
221,3.1
95,NMR Structure
51,2.90
240,2.5
484,3.60
378,3.46
178,1.96
41,2.0
498,2.80
421,2.00
206,2.56
282,NMR Structure
254,2.60
412,2.69
4,3.2
256,2.9
448,3.60
100,2.05
226,2.70
429,2.60
213,NMR Structure (DPC micelles)
171,4.5
98,2.50
292,1.6
215,NMR Structure
61,2.60
47,2.5
32,2.65
267,2.40
327,3.10
200,2.85
446,3.03
27,2.85
424,1.25
230,3.32
260,2.75
288,2.7
162,1.70
425,NMR Structure
138,2.35
62,1.90
135,1.9
128,NMR structure
476,3.04
8,3.35
326,2.5
463,3.00
64,2.1
300,NMR structure
14,1.40
156,3.49
40,2.26
379,2.00
468,2.34
403,1.97
216,3.2
279,2.5
434,2.90
430,2.50
337,NMR Structure
236,NMR structure
207,1.65
212,2.18
295,1.9
457,2.80
251,2.10
488,5.15
486,4.2
303,2.17
350,2.30
269,3.10
201,2.79
161,2.88
43,2.0
217,2.22
401,3.15
190,2.20
309,1.80
259,2.1
105,2.76
53,1.75
389,2.00
1,3.4
441,4.10
482,3.10
49,2.5
419,1.65
80,2.37
205,2.50
34,2.21
263,3.20
427,2.15
366,3.38
91,2.30
339,2.30
473,3.40
52,1.75
345,2.0
264,2.37
241,2.2
13,2.60
315,2.6
88,1.90
387,2.20
273,2.0
166,3.54
328,2.90
492,3.50
134,1.21
306,2.0
480,2.70
319,3.1
243,2.9
54,1.75
363,3.59
50,3.6
456,3.12
174,2.8
445,3.05
189,3.00
496,2.60
187,3.20
169,2.89
58,2.39
48,2.5
344,2.6
235,2.30
252,2.60
21,2.0
313,1.90
459,3.81
160,2.10
276,2.1
443,6.65
191,1.6
385,3.00
293,2.4
413,1.5
343,2.7
257,1.75
308,2.55
149,2.20
130,2.90
151,2.9
359,7.60
99,2.77
372,2.96
87,1.85
458,6.8
330,2.30
214,solid-state NMR structure
466,2.80
121,4.10
499,2.70
20,2.63
188,3.50
71,1.9
106,11.4
270,2.98
348,2.77
435,3.4
102,6.20
