,Group,Species,Subgroup,Taxonomic Domain,Expressed in Species,Secondary Bibliogrpahies,rcsb_entry_info_experimental_method,rcsb_entry_info_polymer_composition,rcsb_entry_info_selected_polymer_entity_types,symmetry_space_group_name_hm,diffrn_radiation_pdbx_scattering_type,diffrn_radiation_pdbx_monochromatic_or_laue_ml,exptl_method,diffrn_detector_detector,diffrn_source_source
0,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,,X-RAY DIFFRACTION,,
1,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,I 2 2 2,x-ray,M,X-RAY DIFFRACTION,,
2,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,I 2 2 2,x-ray,M,X-RAY DIFFRACTION,AREA DETECTOR,ROTATING ANODE
3,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
4,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,I 2 2 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
5,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,I 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
6,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,I 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
7,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,Spodoptera frugiperda,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,P 65,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
8,MONOTOPIC MEMBRANE PROTEINS,Ovis aries,Cyclooxygenases,Eukaryota,Spodoptera frugiperda,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,P 65,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
9,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Cyclooxygenases,Eukaryota,Spodoptera frugiperda,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,P 65 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
10,MONOTOPIC MEMBRANE PROTEINS,Mus musculus,Cyclooxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
11,MONOTOPIC MEMBRANE PROTEINS,Mus musculus,Cyclooxygenases,Eukaryota,S. frugiperda,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
12,MONOTOPIC MEMBRANE PROTEINS,Arabidopsis thaliana,Cyclooxygenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 43 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
13,MONOTOPIC MEMBRANE PROTEINS,Glycine max,Lipoxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),C 1 2 1,,,X-RAY DIFFRACTION,,
14,MONOTOPIC MEMBRANE PROTEINS,Glycine max,Lipoxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,
15,MONOTOPIC MEMBRANE PROTEINS,Glycine max,Lipoxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
16,MONOTOPIC MEMBRANE PROTEINS,Plexaura homomalla,Lipoxygenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,AREA DETECTOR,ROTATING ANODE
17,MONOTOPIC MEMBRANE PROTEINS,Plexaura homomalla,Lipoxygenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
18,MONOTOPIC MEMBRANE PROTEINS,Oryctolagus cuniculus,Lipoxygenases,Eukaryota,,,X-ray,homomeric protein,Protein (only),H 3 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
19,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Lipoxygenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
20,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Lipoxygenases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),H 3 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
21,MONOTOPIC MEMBRANE PROTEINS,Alicyclobacillus acidocaldarius,Squalene-Hopene Cyclases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,AREA DETECTOR,ROTATING ANODE
22,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens (Human) mitochondrial outer membrane,Oxidases,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),C 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
23,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens (Human) mitochondrial outer membrane,Oxidases,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),C 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
24,MONOTOPIC MEMBRANE PROTEINS,Rattus norvegicus (Rat) mitochondrial outer membrane,Oxidases,Eukaryota,S. cerevisiae,,X-ray,homomeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,
25,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens (Human) mitochondrial outer membrane,Oxidases,Eukaryota,Pichia pastoris,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,,SYNCHROTRON
26,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens (Human) mitochondrial outer membrane,Oxidases,Eukaryota,S. cerevisiae,,X-ray,homomeric protein,Protein (only),C 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
27,MONOTOPIC MEMBRANE PROTEINS,Trypanosoma brucei brucei ,Oxidases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
28,MONOTOPIC MEMBRANE PROTEINS,Rattus norvegicus,Hydrolases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
29,MONOTOPIC MEMBRANE PROTEINS,Pseudomonas aeruginosa,Hydrolases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
30,MONOTOPIC MEMBRANE PROTEINS,Caulobacter crescentus ,Hydrolases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),I 41 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
31,MONOTOPIC MEMBRANE PROTEINS,Aquifex aeolicus,Hydrolases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
32,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Hydrolases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 65 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
33,MONOTOPIC MEMBRANE PROTEINS,Klebsiella oxytoca,Hydrolases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 63 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
34,MONOTOPIC MEMBRANE PROTEINS,Gallus gallus,Hydrolases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
35,MONOTOPIC MEMBRANE PROTEINS,Pseudomonas aeruginosa,Hydrolases,Bacteria,,,X-ray,homomeric protein,Protein (only),I 41 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
36,MONOTOPIC MEMBRANE PROTEINS,Methylacidiphilum infernorum,Hydroxylases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
37,MONOTOPIC MEMBRANE PROTEINS,Acinetobacter baumannii,Acyltransferases,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
38,MONOTOPIC MEMBRANE PROTEINS,Mycolicibacterium smegmatis,Acyltransferases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
39,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Thioesterases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
40,MONOTOPIC MEMBRANE PROTEINS,Schizosaccharomyces pombe,Nucleotidyltransferases,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
41,MONOTOPIC MEMBRANE PROTEINS,Aquifex aeolicus,Oxidoreductases (Monotopic),Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
42,MONOTOPIC MEMBRANE PROTEINS,Aquifex aeolicus,Oxidoreductases (Monotopic),Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
43,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Aquifex aeolicus,Oxidoreductases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
44,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Aquifex aeolicus,Oxidoreductases,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
45,MONOTOPIC MEMBRANE PROTEINS,Homo sapiens,Oxidoreductases (Monotopic),Eukaryota,e. coli,,X-ray,homomeric protein,Protein (only),P 61 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
46,MONOTOPIC MEMBRANE PROTEINS,Sus scrofa,Oxidoreductases (Monotopic),Eukaryota,,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
47,MONOTOPIC MEMBRANE PROTEINS,Sus scrofa,Oxidoreductases (Monotopic),Eukaryota,,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
48,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Sus scrofa,Oxidoreductases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
49,TRANSMEMBRANE PROTEINS: ALPHA-HELICAL,Sus scrofa,Oxidoreductases,Eukaryota,,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
